image_name,best_model_perceptual.keras_mse,best_model_perceptual.keras_psnr,best_model_perceptual.keras_ssim,exp_lambda1e4_20251107_191941.keras_mse,exp_lambda1e4_20251107_191941.keras_psnr,exp_lambda1e4_20251107_191941.keras_ssim,exp_perc_norm_20251107_194814.keras_mse,exp_perc_norm_20251107_194814.keras_psnr,exp_perc_norm_20251107_194814.keras_ssim,exp_perc_norm_l5e4_20251107_195113.keras_mse,exp_perc_norm_l5e4_20251107_195113.keras_psnr,exp_perc_norm_l5e4_20251107_195113.keras_ssim,original_baseline_model.keras_mse,original_baseline_model.keras_psnr,original_baseline_model.keras_ssim
315.png,0.02316468,16.351736,0.683641,0.05898312,12.292722,0.644906,0.08462804,10.724856,0.611403,0.09244927,10.340964,0.604768,0.09244927,10.340964,0.604768
317.png,0.02183794,16.607883,0.665853,0.05222420,12.821281,0.617658,0.07430842,11.289618,0.592525,0.08463380,10.724561,0.580313,0.08463380,10.724561,0.580313
319.png,0.00328056,24.840515,0.908984,0.00370717,24.309570,0.915150,0.00643176,21.916704,0.912961,0.00614389,22.115566,0.917022,0.00614389,22.115566,0.917022
320.png,0.01270301,18.960932,0.749707,0.01479592,18.298580,0.726778,0.01396797,18.548666,0.729280,0.01340521,18.727262,0.740315,0.01340521,18.727262,0.740315
38.png,0.01914641,17.179123,0.848703,0.02136884,16.702190,0.836758,0.01915627,17.176889,0.838969,0.02176747,16.621920,0.825166,0.02176747,16.621920,0.825166
4.png,0.01175089,19.299294,0.809850,0.01187969,19.251947,0.834718,0.01541454,18.120693,0.824852,0.01520746,18.179434,0.820455,0.01520746,18.179434,0.820455
5.png,0.00463953,23.335258,0.757194,0.00563778,22.488920,0.780371,0.00416041,23.808632,0.796237,0.00585547,22.324377,0.779521,0.00585547,22.324377,0.779521
54.png,0.00584701,22.330664,0.853683,0.00593363,22.266794,0.862965,0.00493320,23.068708,0.868121,0.00608971,22.154030,0.861814,0.00608971,22.154030,0.861814
56.png,0.00163298,27.870197,0.902572,0.00138878,28.573656,0.912234,0.00169638,27.704769,0.911816,0.00167826,27.751408,0.909906,0.00167826,27.751408,0.909906
58.png,0.00710376,21.485119,0.894079,0.00716333,21.448847,0.902364,0.00540554,22.671606,0.908035,0.00674879,21.707741,0.903076,0.00674879,21.707741,0.903076
64.png,0.00121343,29.159864,0.913999,0.00102705,29.884087,0.924467,0.00096993,30.132610,0.922453,0.00097564,30.107092,0.921239,0.00097564,30.107092,0.921239
66.png,0.00548757,22.606199,0.923357,0.00635446,21.969215,0.924058,0.00356664,24.477413,0.931474,0.00476526,23.219131,0.928639,0.00476526,23.219131,0.928639
68.png,0.00484329,23.148594,0.917287,0.00543333,22.649338,0.917782,0.00337685,24.714878,0.924867,0.00428766,23.677799,0.924262,0.00428766,23.677799,0.924262
69.png,0.00740408,21.305288,0.852040,0.00727901,21.379276,0.865491,0.00551689,22.583059,0.870873,0.00570138,22.440201,0.869621,0.00570138,22.440201,0.869621
92.png,0.00437959,23.585661,0.886749,0.00419663,23.770990,0.903119,0.00301123,25.212555,0.907151,0.00370812,24.308458,0.902407,0.00370812,24.308458,0.902407
94.png,0.01095007,19.605829,0.788381,0.01058156,19.754503,0.802792,0.01328763,18.765522,0.790890,0.01241182,19.061644,0.788985,0.01241182,19.061644,0.788985
97.png,0.00209407,26.790085,0.880485,0.00326757,24.857746,0.878266,0.00282656,25.487411,0.884030,0.00365839,24.367098,0.875537,0.00365839,24.367098,0.875537
98.png,0.00898269,20.465937,0.813499,0.01008490,19.963284,0.809896,0.01091170,19.621077,0.820478,0.01160140,19.354895,0.808345,0.01160140,19.354895,0.808345
99.png,0.00463159,23.342695,0.852103,0.00549428,22.600895,0.860207,0.00534062,22.724083,0.866219,0.00690669,21.607298,0.855182,0.00690669,21.607298,0.855182
